"ID","made_donation"
"619",1
"441",1
"160",1
"638",1
"463",1
"8",1
"573",0
"330",0
"391",0
"377",0
"332",1
"479",0
"507",0
"718",1
"144",0
"652",1
"274",0
"172",1
"168",0
"275",0
"296",0
"314",1
"596",0
"434",0
"282",0
"217",0
"649",0
"264",1
"706",0
"693",0
"257",1
"268",0
"702",0
"11",0
"385",0
"678",0
"43",0
"102",0
"304",0
"17",0
"260",1
"32",0
"20",1
"201",0
"315",0
"126",0
"184",0
"614",0
"266",0
"327",0
"481",0
"27",0
"525",1
"739",0
"388",0
"597",0
"673",0
"190",1
"255",0
"729",0
"397",0
"409",0
"635",0
"484",0
"57",0
"7",0
"695",0
"273",0
"437",0
"91",0
"10",0
"557",0
"46",0
"209",0
"125",0
"130",0
"566",0
"621",0
"396",0
"416",0
"532",0
"387",0
"738",0
"450",0
"541",0
"74",0
